"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7540.514895,1.55376637,4.95616E-05
7540.032765,1.553766489,4.95489E-05
7539.550635,1.55376637,4.95319E-05
7539.068506,1.55376637,4.95298E-05
7538.586376,1.55376637,4.95468E-05
7538.104246,1.55376637,4.95529E-05
7537.622116,1.553766489,4.95008E-05
7537.139986,1.553766489,4.9379E-05
7536.657856,1.55376637,4.92415E-05
7536.175726,1.553766251,4.91663E-05
7535.693597,1.553766012,4.91859E-05
7535.211467,1.553766012,4.92609E-05
7534.729337,1.553765893,4.93237E-05
7534.247207,1.553766012,4.93475E-05
7533.765077,1.553765893,4.93541E-05
7533.282947,1.553765774,4.93866E-05
7532.800817,1.553765655,4.9462E-05
7532.318688,1.553765774,4.95509E-05
7531.836558,1.553765774,4.95979E-05
7531.354428,1.553765893,4.95589E-05
7530.872298,1.553765893,4.94482E-05
7530.390168,1.553765893,4.93431E-05
7529.908038,1.553765655,4.93264E-05
7529.425908,1.553765535,4.94098E-05
7528.943779,1.553765535,4.95146E-05
7528.461649,1.553765655,4.95455E-05
7527.979519,1.553765535,4.94911E-05
7527.497389,1.553765655,4.94216E-05
7527.015259,1.553765416,4.94149E-05
7526.533129,1.553765416,4.94759E-05
7526.050999,1.553765297,4.95499E-05
7525.56887,1.553765416,4.95916E-05
7525.08674,1.553765416,4.96011E-05
7524.60461,1.553765416,4.95832E-05
7524.12248,1.553765416,4.954E-05
7523.64035,1.553765297,4.94824E-05
7523.15822,1.553765297,4.94577E-05
7522.67609,1.553765178,4.95E-05
7522.193961,1.553765059,4.95762E-05
7521.711831,1.553765178,4.96097E-05
7521.229701,1.553765178,4.9569E-05
7520.747571,1.553765059,4.95182E-05
7520.265441,1.553764939,4.95436E-05
7519.783311,1.553764939,4.96308E-05
7519.301181,1.553764939,4.96802E-05
7518.819051,1.553765059,4.96252E-05
7518.336922,1.553765059,4.95048E-05
7517.854792,1.553764939,4.94244E-05
7517.372662,1.553764701,4.94378E-05
7516.890532,1.553764701,4.95121E-05
7516.408402,1.553764462,4.96062E-05
7515.926272,1.553764462,4.97218E-05
7515.444142,1.553764462,4.98646E-05
7514.962013,1.553764582,4.99723E-05
7514.479883,1.553764701,4.99596E-05
7513.997753,1.55376482,4.98299E-05
7513.515623,1.553764582,4.97108E-05
7513.033493,1.553764462,4.97368E-05
7512.551363,1.553764343,4.99199E-05
7512.069233,1.553764462,5.01196E-05
7511.587104,1.553764701,5.01767E-05
7511.104974,1.55376482,5.00481E-05
7510.622844,1.55376482,4.98279E-05
7510.140714,1.553764701,4.96564E-05
7509.658584,1.553764462,4.96122E-05
7509.176454,1.553764343,4.96822E-05
7508.694324,1.553764224,4.97927E-05
7508.212195,1.553764343,4.9883E-05
7507.730065,1.553764224,4.99517E-05
7507.247935,1.553764224,5.00298E-05
7506.765805,1.553764343,5.01241E-05
7506.283675,1.553764462,5.01737E-05
7505.801545,1.553764582,5.00994E-05
7505.319415,1.553764701,4.9901E-05
7504.837286,1.553764582,4.9689E-05
7504.355156,1.553764462,4.95952E-05
7503.873026,1.553764224,4.96508E-05
7503.390896,1.553764224,4.97632E-05
7502.908766,1.553764105,4.9817E-05
7502.426636,1.553764224,4.9789E-05
7501.944506,1.553764105,4.97484E-05
7501.462377,1.553764224,4.97529E-05
7500.980247,1.553764105,4.97842E-05
7500.498117,1.553764224,4.97709E-05
7500.015987,1.553764224,4.96844E-05
7499.533857,1.553764224,4.95666E-05
7499.051727,1.553764105,4.94835E-05
7498.569597,1.553763986,4.94546E-05
7498.087468,1.553763866,4.94491E-05
7497.605338,1.553763747,4.94321E-05
7497.123208,1.553763628,4.94137E-05
7496.641078,1.553763509,4.94257E-05
7496.158948,1.55376339,4.94906E-05
7495.676818,1.55376339,4.95863E-05
7495.194688,1.55376327,4.96709E-05
7494.712559,1.55376327,4.97349E-05
