Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case4,26397,8.6117e-04,6.8474e-04,1.7209e-01,-4.1950e-04,0.0000e+00,-2.1510e-01
case4,28503,8.4370e-04,6.6231e-02,1.5964e-01,-7.1156e-04,1.5266e-02,-2.0088e-01
case4,30728,8.2201e-04,1.3477e-01,1.4664e-01,-9.7430e-04,3.1303e-02,-1.8672e-01
case4,33094,8.0943e-04,2.0694e-01,1.3293e-01,-1.0858e-03,4.8016e-02,-1.7276e-01
case4,35595,7.9370e-04,2.8205e-01,1.1880e-01,-1.4256e-03,6.4411e-02,-1.5958e-01
case4,38243,7.3373e-04,3.6025e-01,1.0425e-01,-2.2083e-03,8.1100e-02,-1.4735e-01
case4,41043,6.9749e-04,4.4326e-01,8.8318e-02,-2.6220e-03,1.0174e-01,-1.3406e-01
case4,44000,6.3175e-04,5.3012e-01,7.1625e-02,-2.7277e-03,1.2369e-01,-1.2131e-01
case4,47110,5.8496e-04,6.2001e-01,5.4260e-02,-2.9069e-03,1.4523e-01,-1.0983e-01
case4,50404,6.0114e-04,7.1391e-01,3.6102e-02,-3.5533e-03,1.6743e-01,-9.8969e-02
case4,53894,5.1504e-04,8.1310e-01,1.6663e-02,-3.3225e-03,1.9333e-01,-8.7799e-02
case4,57603,4.5162e-04,9.1620e-01,-3.7231e-03,-3.2189e-03,2.1835e-01,-7.7393e-02
case4,61529,-2.2650e-05,1.0231e+00,-2.5055e-02,-1.2708e-04,2.4322e-01,-6.7505e-02
case4,65690,5.0697e-04,1.1252e+00,-4.6021e-02,-3.7739e-03,2.5035e-01,-6.1005e-02
case4,70120,4.9639e-04,1.2423e+00,-6.9244e-02,-3.5835e-03,2.7924e-01,-5.1941e-02
case4,74857,3.7801e-04,1.3649e+00,-9.3811e-02,-2.9951e-03,3.0939e-01,-4.1931e-02
case4,79904,1.2279e-04,1.4910e+00,-1.1960e-01,-2.0451e-03,3.3763e-01,-3.1616e-02
case4,84154,-1.5068e-04,1.5922e+00,-1.4108e-01,-1.0861e-03,3.5551e-01,-2.4048e-02
case4,87481,-4.5741e-04,1.6678e+00,-1.5781e-01,-6.8426e-05,3.6499e-01,-1.8860e-02
case4,90928,-5.1904e-04,1.7424e+00,-1.7505e-01,-1.3447e-04,3.7007e-01,-1.4038e-02
case4,92409,-4.8375e-04,1.7741e+00,-1.8246e-01,-4.1473e-04,3.7215e-01,-1.2207e-02
case4,93913,-4.6659e-04,1.8063e+00,-1.9000e-01,-5.5563e-04,3.7466e-01,-1.0437e-02
case4,95443,-4.5657e-04,1.8390e+00,-1.9760e-01,-7.5209e-04,3.7741e-01,-8.6975e-03
case4,96982,-4.3142e-04,1.8718e+00,-2.0526e-01,-9.6893e-04,3.8039e-01,-7.1106e-03
case4,97765,-4.5979e-04,1.8884e+00,-2.0914e-01,-7.8607e-04,3.8203e-01,-6.3477e-03
