Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case4,12062,5.9605e-06,5.9128e-05,2.8290e-02,-3.1948e-05,0.0000e+00,-1.6388e-02
case4,14080,5.4836e-06,6.8665e-05,2.8320e-02,-3.2395e-05,0.0000e+00,-1.6464e-02
case4,16417,4.8876e-06,8.0109e-05,2.8351e-02,-3.0562e-05,0.0000e+00,-1.6556e-02
case4,19217,4.5300e-06,9.3460e-05,2.8351e-02,-2.7210e-05,0.0000e+00,-1.6663e-02
case4,22563,4.4703e-06,1.1063e-04,2.8381e-02,-2.3514e-05,0.0000e+00,-1.6769e-02
case4,26397,4.8280e-06,1.2970e-04,2.8442e-02,-2.1636e-05,0.0000e+00,-1.6876e-02
case4,28503,5.4240e-06,1.3924e-04,2.8473e-02,-2.1338e-05,0.0000e+00,-1.6922e-02
case4,30728,6.6161e-06,1.5068e-04,2.8503e-02,-2.1815e-05,0.0000e+00,-1.6983e-02
case4,33094,1.0252e-05,1.6212e-04,2.8534e-02,-2.5511e-05,0.0000e+00,-1.7059e-02
case4,35595,1.4424e-05,1.7548e-04,2.8564e-02,-3.0279e-05,0.0000e+00,-1.7120e-02
case4,38243,7.9274e-06,1.9073e-04,2.8625e-02,-2.3782e-05,0.0000e+00,-1.7212e-02
case4,41043,9.2983e-06,2.0218e-04,2.8656e-02,-2.5928e-05,0.0000e+00,-1.7303e-02
case4,44000,1.4007e-05,2.1744e-04,2.8717e-02,-3.2187e-05,0.0000e+00,-1.7395e-02
case4,47110,1.6034e-05,2.3270e-04,2.8778e-02,-3.5763e-05,0.0000e+00,-1.7487e-02
case4,50404,1.1504e-05,2.4796e-04,2.8870e-02,-3.1054e-05,0.0000e+00,-1.7639e-02
case4,53894,1.6689e-05,2.6703e-04,2.8900e-02,-3.8505e-05,0.0000e+00,-1.7792e-02
case4,57603,2.0325e-05,2.8229e-04,2.9022e-02,-4.4584e-05,0.0000e+00,-1.7975e-02
case4,61529,7.9870e-05,3.0136e-04,2.9114e-02,-1.3399e-04,0.0000e+00,-1.8158e-02
case4,65690,1.9461e-05,3.2425e-04,2.9541e-02,-4.7207e-05,0.0000e+00,-1.8829e-02
case4,70120,1.7315e-05,3.4714e-04,2.9694e-02,-4.5925e-05,0.0000e+00,-1.9073e-02
case4,74857,2.8491e-05,3.7003e-04,2.9785e-02,-6.7472e-05,0.0000e+00,-1.9318e-02
case4,79904,3.0434e-04,3.9673e-04,2.9968e-02,-2.0582e-03,0.0000e+00,-1.9714e-02
case4,84154,3.3438e-04,5.0980e-02,2.0599e-02,-2.3139e-03,1.3489e-02,-1.6602e-02
case4,87481,3.4606e-04,9.6962e-02,1.2054e-02,-2.4661e-03,2.5177e-02,-1.4069e-02
case4,90928,3.4964e-04,1.5092e-01,1.9226e-03,-2.6742e-03,3.7979e-02,-1.1322e-02
case4,92409,3.5405e-04,1.7634e-01,-2.8687e-03,-2.8216e-03,4.3854e-02,-1.0162e-02
case4,93913,3.5858e-04,2.0361e-01,-8.0566e-03,-2.9335e-03,5.0095e-02,-8.9722e-03
case4,95443,3.6418e-04,2.3290e-01,-1.3580e-02,-3.1372e-03,5.6671e-02,-7.7209e-03
case4,96982,3.7110e-04,2.6408e-01,-1.9531e-02,-3.3162e-03,6.3644e-02,-6.4697e-03
case4,97765,3.7026e-04,2.8061e-01,-2.2675e-02,-3.2619e-03,6.7322e-02,-5.8594e-03
