The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
    1187.0  0.0002141206  0.0002131641  0.0000028824  0.0000070253
    1188.0  0.0002150820  0.0002141192  0.0000028685  0.0000070568
    1189.0  0.0002250216  0.0002240129  0.0000030069  0.0000073829
    1190.0  0.0002408499  0.0002397698  0.0000032510  0.0000079022
    1191.0  0.0002581570  0.0002569990  0.0000035301  0.0000084698
    1192.0  0.0002727293  0.0002715057  0.0000037740  0.0000089474
    1193.0  0.0002814394  0.0002801760  0.0000039282  0.0000092320
    1194.0  0.0002833756  0.0002821023  0.0000039737  0.0000092932
    1195.0  0.0002799319  0.0002786723  0.0000039302  0.0000091759
    1196.0  0.0002745173  0.0002732803  0.0000038535  0.0000089906
    1197.0  0.0002715017  0.0002702764  0.0000038164  0.0000088794
    1198.0  0.0002744858  0.0002732452  0.0000038805  0.0000089592
    1199.0  0.0002851066  0.0002838165  0.0000040735  0.0000092828
    1200.0  0.0003020047  0.0003006372  0.0000043716  0.0000098058
    1201.0  0.0003213678  0.0003199121  0.0000047077  0.0000104046
    1202.0  0.0003379697  0.0003364382  0.0000049900  0.0000109106
    1203.0  0.0003469178  0.0003453447  0.0000051328  0.0000111667
    1204.0  0.0003449007  0.0003433353  0.0000050800  0.0000110686
    1205.0  0.0003309262  0.0003294222  0.0000048189  0.0000105871
    1206.0  0.0003061508  0.0003047567  0.0000043766  0.0000097625
