Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
     725.5     0.2180866     0.3820793
     726.5     0.2502410     0.3663583
     727.5     0.2430598     0.3685662
     728.5     0.1969899     0.3952743
     729.5     0.2260400     0.4038538
     730.5     0.1966149     0.4083806
     731.5     0.1968254     0.4020113
     732.5     0.2561168     0.3665560
     733.5     0.2057526     0.3833890
     734.5     0.2097199     0.3825520
     735.5     0.2617280     0.3598391
     736.5     0.2010545     0.3829375
     737.5     0.2147377     0.3786662
     738.5     0.2664819     0.3597438
     739.5     0.2094575     0.3875408
     740.5     0.2006542     0.4023368
     741.5     0.1847723     0.3968818
     742.5     0.2236389     0.3875291
     743.5     0.2451513     0.3653055
     744.5     0.2641103     0.3999273
     745.5     0.2481109     0.3651929
     746.5     0.2678493     0.3429511
     747.5     0.3141692     0.3220197
     748.5     0.2547279     0.3741402
     749.5     0.2801887     0.3341435
     750.5     0.3243437     0.2912205
     751.5     0.2750885     0.3418964
     752.5     0.2772289     0.3656946
     753.5     0.3145156     0.3363199
     754.5     0.2581982     0.3878984
     755.5     0.3054755     0.3287497
     756.5     0.3410918     0.2813106
     757.5     0.3036932     0.2997437
     758.5     0.3383550     0.2684044
     759.5     0.3645501     0.2351431
     760.5     0.3273030     0.2851419
     761.5     0.3423293     0.2643982
     762.5     0.3788495     0.2158958
     763.5     0.3471503     0.2485172
     764.5     0.3539179     0.2401802
     765.5     0.3801207     0.2097873
     766.5     0.3586734     0.2363296
     767.5     0.3533057     0.2592080
     768.5     0.3496357     0.2677127
     769.5     0.3477510     0.2847110
     770.5     0.3474793     0.2733644
     771.5     0.3682905     0.2165386
     772.5     0.3744589     0.2109762
     773.5     0.3785681     0.2040262
     774.5     0.3682105     0.2230816
     775.5     0.3240916     0.3257936
     776.5     0.3361755     0.3038506
     777.5     0.3411937     0.2867480
     778.5     0.3671005     0.2244263
     779.5     0.3425784     0.2878306
     780.5     0.3743613     0.2033727
     781.5     0.3785113     0.1943190
     782.5     0.3738429     0.2032940
     783.5     0.3609409     0.2442029
     784.5     0.2913558     0.3618727
     785.5     0.3632168     0.2323866
     786.5     0.3760891     0.1952887
     787.5     0.3792666     0.1887871
     788.5     0.3789535     0.1837543
     789.5     0.3791152     0.1819034
     790.5     0.3788675     0.1816962
     791.5     0.2984034     0.2704361
     792.5     0.3379444     0.2404132
     793.5     0.3325232     0.2801378
     794.5     0.3516957     0.2582161
     795.5     0.3009531     0.3227007
     796.5     0.3284603     0.2974398
     797.5     0.3318391     0.2967806
     798.5     0.2704484     0.3652235
     799.5     0.3422655     0.2645411
     800.5     0.3674377     0.1940051
     801.5     0.3674801     0.1895828
